"","date","state","bor","hosp_covid","hosp_pui","hosp_noncovid","hosp_beds","ior","icu_pui","icu_covid","icu_noncovid","icu_beds","vor","vent_covid","vent_pui","vent_noncovid","vent_beds","por","pkrc_covid","pkrc_pui","pkrc_noncovid","pkrc_beds","beds_icu_total","vent","vent_port"
"88",2020-06-19,"Malaysia",56.6050198150594,208,115,13389,24224,53.4308211473566,0,3,472,889,0,0,0,0,1331,5.84893048128342,55,7,113,2992,NA,NA,NA
"89",2020-06-20,"Malaysia",54.6730515191546,197,97,12950,24224,54.3307086614173,0,3,480,889,0,0,0,0,1331,5.4144385026738,48,8,106,2992,NA,NA,NA
"90",2020-06-21,"Malaysia",53.9382430647292,191,106,12769,24224,53.5433070866142,0,3,473,889,0,0,0,0,1331,5.78208556149733,62,8,103,2992,NA,NA,NA
"91",2020-06-22,"Malaysia",55.5069352708058,195,92,13159,24224,53.2058492688414,1,2,470,889,0.0751314800901578,0,1,0,1331,5.48128342245989,58,2,104,2992,NA,NA,NA
"92",2020-06-23,"Malaysia",57.4265191545575,187,93,13631,24224,54.4431946006749,0,3,481,889,0,0,0,0,1331,5.78208556149733,50,2,121,2992,NA,NA,NA
"93",2020-06-24,"Malaysia",58.1737120211361,174,90,13828,24224,53.0933633295838,1,2,469,889,0.0751314800901578,0,1,0,1331,5.01336898395722,43,4,103,2992,NA,NA,NA
"94",2020-06-25,"Malaysia",56.4811756935271,140,92,13450,24224,53.9932508436445,0,2,478,889,0,0,0,0,1331,4.92139439507861,29,5,110,2926,NA,NA,NA
"95",2020-06-26,"Malaysia",57.3385255807708,121,91,12598,22341,55.2011095700416,0,0,398,721,0,0,0,0,1173,6.25562556255626,26,5,108,2222,NA,NA,NA
"96",2020-06-27,"Malaysia",55.0288706861824,116,87,12091,22341,55.3398058252427,0,2,397,721,0,0,0,0,1173,5.81395348837209,23,4,88,1978,NA,NA,NA
"97",2020-06-28,"Malaysia",53.4309117765543,120,62,11755,22341,55.4785020804438,0,3,397,721,0.0852514919011083,1,0,0,1173,6.01617795753286,25,5,89,1978,NA,NA,NA
"98",2020-06-29,"Malaysia",55.4530702878128,108,68,12810,23418,57.6976421636616,0,3,413,721,0.0852514919011083,1,0,0,1173,6.47118301314459,25,6,97,1978,NA,NA,NA
"99",2020-06-30,"Malaysia",57.6522333247929,91,68,13342,23418,49.3333333333333,0,4,403,825,0.0771604938271605,1,0,0,1296,7.6845298281092,22,3,127,1978,NA,NA,NA
"100",2020-07-01,"Malaysia",59.6037236313947,73,59,13826,23418,52.6060606060606,2,5,427,825,0.308641975308642,2,2,0,1296,7.83619817997978,20,4,131,1978,NA,NA,NA
"101",2020-07-02,"Malaysia",59.8770176787087,66,60,13896,23418,52.7272727272727,0,4,431,825,0.154320987654321,2,0,0,1296,7.18562874251497,7,3,122,1837,NA,NA,NA
"102",2020-07-03,"Malaysia",58.7283286360919,70,47,13636,23418,54.4242424242424,0,2,447,825,0.154320987654321,2,0,0,1296,7.24006532389766,4,3,126,1837,NA,NA,NA
"103",2020-07-04,"Malaysia",49.649108322325,51,61,11915,24224,49.9393939393939,1,2,409,825,0,0,0,0,1296,6.69569951007077,4,1,118,1837,NA,NA,NA
"104",2020-07-05,"Malaysia",55.4060978734307,58,63,12854,23418,50.7878787878788,1,2,416,825,0.231481481481481,2,1,0,1296,7.43575724439584,4,1,131,1829,NA,NA,NA
"105",2020-07-06,"Malaysia",56.7085148176616,50,63,13167,23418,48.6060606060606,1,2,398,825,0.231481481481481,2,1,0,1296,7.29450190528035,3,1,130,1837,NA,NA,NA
"106",2020-07-07,"Malaysia",60.4449568707832,48,69,14038,23418,51.3939393939394,2,2,420,825,0.308641975308642,2,2,0,1296,7.45781164942842,3,0,134,1837,NA,NA,NA
"107",2020-07-08,"Malaysia",57.1825091809719,46,67,13278,23418,51.5151515151515,0,2,423,825,0.0771604938271605,1,0,0,1296,6.63293985385048,3,0,115,1779,NA,NA,NA
"108",2020-07-09,"Malaysia",60.8805192586899,47,63,14147,23418,52.969696969697,0,2,435,825,0.0771604938271605,1,0,0,1296,7.08263069139966,3,1,122,1779,NA,NA,NA
"109",2020-07-10,"Malaysia",59.6506960457768,40,63,13866,23418,51.7575757575758,2,3,422,825,0.308641975308642,2,2,0,1296,7.5885328836425,1,1,133,1779,NA,NA,NA
"110",2020-07-11,"Malaysia",57.3746690579896,39,84,13313,23418,53.0909090909091,1,2,435,825,0.231481481481481,2,1,0,1296,7.48694138131167,6,2,121,1723,NA,NA,NA
"111",2020-07-12,"Malaysia",57.2038602784183,46,72,13278,23418,52.969696969697,1,2,434,825,0.231481481481481,2,1,0,1296,9.37263794406651,6,1,117,1323,NA,NA,NA
"112",2020-07-13,"Malaysia",59.3902126569306,50,92,13766,23418,52.6060606060606,0,3,431,825,0.231481481481481,3,0,0,1296,8.31443688586546,6,1,103,1323,NA,NA,NA
"113",2020-07-14,"Malaysia",62.0505593987531,55,87,14389,23418,53.5757575757576,1,4,437,825,0.231481481481481,2,1,0,1296,9.52380952380952,6,2,118,1323,NA,NA,NA
"114",2020-07-15,"Malaysia",63.1650866854556,56,88,14648,23418,54.2067307692308,1,3,447,832,0.154320987654321,1,1,0,1296,11.1111111111111,9,7,131,1323,NA,NA,NA
"115",2020-07-16,"Malaysia",63.186437782902,59,82,14656,23418,53.4855769230769,0,1,444,832,0.0771604938271605,1,0,0,1296,11.1591072714183,12,8,135,1389,NA,NA,NA
"116",2020-07-17,"Malaysia",58.7325988555812,58,101,13595,23418,53.125,0,1,441,832,0,0,0,0,1296,11.5910727141829,14,7,140,1389,NA,NA,NA
"117",2020-07-18,"Malaysia",52.8567768383295,67,70,12241,23418,52.0432692307692,1,1,431,832,0.0771604938271605,0,1,0,1296,11.4470842332613,17,7,135,1389,NA,NA,NA
"118",2020-07-19,"Malaysia",58.9204885131096,65,70,13663,23418,52.1634615384615,2,1,431,832,0.154320987654321,0,2,0,1296,11.5910727141829,25,3,133,1389,NA,NA,NA
"119",2020-07-20,"Malaysia",60.291228969169,64,78,13977,23418,53.125,1,2,439,832,0.0771604938271605,0,1,0,1296,11.4470842332613,30,3,126,1389,NA,NA,NA
"120",2020-07-21,"Malaysia",63.5237851225553,84,81,14711,23418,53.7259615384615,0,2,445,832,0,0,0,0,1296,10.7271418286537,31,2,116,1389,NA,NA,NA
"121",2020-07-22,"Malaysia",60.5793127088868,73,81,13984,23338,53.8461538461538,0,4,444,832,0,0,0,0,1302,11.5910727141829,42,5,114,1389,NA,NA,NA
"122",2020-07-23,"Malaysia",64.3906396788795,76,85,14918,23418,53.2451923076923,0,5,438,832,0.0768049155145929,1,0,0,1302,12.6709863210943,50,6,120,1389,NA,NA,NA
"123",2020-07-24,"Malaysia",63.7244854385515,75,93,14755,23418,52.8846153846154,0,5,435,832,0.147383935151069,2,0,0,1357,13.4880348078318,57,4,125,1379,NA,NA,NA
"124",2020-07-25,"Malaysia",60.624306089333,73,76,14048,23418,52.4038461538462,1,2,433,832,0.220102714600147,2,1,0,1363,14.5428365730742,66,4,132,1389,NA,NA,NA
"125",2020-07-26,"Malaysia",59.821504825348,89,85,13835,23418,52.6442307692308,1,1,436,832,0.146735143066764,1,1,0,1363,14.4708423326134,74,3,124,1389,NA,NA,NA
"126",2020-07-27,"Malaysia",60.2954991886583,58,73,13989,23418,51.2019230769231,1,0,425,832,0.0733675715333822,0,1,0,1363,14.902807775378,74,6,127,1389,NA,NA,NA
"127",2020-07-28,"Malaysia",58.8525152112435,102,103,13530,23338,51.3221153846154,0,1,426,832,0.0733675715333822,1,0,0,1363,16.2706983441325,80,5,141,1389,NA,NA,NA
"128",2020-07-29,"Malaysia",63.2248697583056,109,103,14594,23418,53.0048076923077,0,2,439,832,0.0733675715333822,1,0,0,1363,17.0626349892009,97,4,136,1389,NA,NA,NA
"129",2020-07-30,"Malaysia",56.4821931847297,109,106,13012,23418,52.2836538461538,1,3,431,832,0.0733675715333822,1,0,0,1363,17.2066234701224,98,4,137,1389,NA,NA,NA
"130",2020-07-31,"Malaysia",53.6424972243573,102,97,12363,23418,53.2451923076923,2,3,438,832,0.0733675715333822,1,0,0,1363,17.2051089406461,93,4,132,1331,NA,NA,NA
"131",2020-08-01,"Malaysia",52.4767273037834,105,110,12074,23418,50.9615384615385,0,2,422,832,0.0733675715333822,1,0,0,1363,15.9107271418287,87,4,130,1389,NA,NA,NA
"132",2020-08-02,"Malaysia",53.9926552224784,114,109,12421,23418,51.9230769230769,1,2,429,832,0.146735143066764,1,1,0,1363,15.4787616990641,87,4,124,1389,NA,NA,NA
"133",2020-08-03,"Malaysia",57.8742847382355,113,102,13338,23418,50.7211538461538,1,2,419,832,0.146735143066764,1,1,0,1363,16.5586753059755,83,5,142,1389,NA,NA,NA
"134",2020-08-04,"Malaysia",62.5971474933812,107,102,14450,23418,53.7259615384615,0,0,447,832,0,0,0,0,1363,14.5428365730742,75,5,122,1389,NA,NA,NA
"135",2020-08-05,"Malaysia",64.8048509693398,109,115,14952,23418,54.8076923076923,0,1,455,832,0,0,0,0,1364,13.678905687545,66,4,120,1389,NA,NA,NA
"136",2020-08-06,"Malaysia",64.1685882654368,106,117,14804,23418,52.7644230769231,0,2,437,832,0.0733137829912024,1,0,0,1364,14.3268538516919,71,3,125,1389,NA,NA,NA
"137",2020-08-07,"Malaysia",62.8412732322153,97,124,14487,23405,53.3653846153846,1,2,441,832,0.0733137829912024,1,0,0,1364,13.3909287257019,67,2,117,1389,NA,NA,NA
"138",2020-08-08,"Malaysia",61.0168767357402,103,130,14048,23405,52.6442307692308,0,2,436,832,0.0733137829912024,1,0,0,1364,12.5269978401728,51,2,121,1389,NA,NA,NA
"139",2020-08-09,"Malaysia",60.5853450117496,103,135,13942,23405,52.2836538461538,0,2,433,832,0.0733137829912024,1,0,0,1364,11.6630669546436,41,2,119,1389,NA,NA,NA
"140",2020-08-10,"Malaysia",62.3200170903653,83,124,14379,23405,53.0048076923077,0,1,440,832,0,0,0,0,1364,12.2655122655123,44,9,117,1386,NA,NA,NA
"141",2020-08-11,"Malaysia",64.6571245460372,88,130,14915,23405,52.0432692307692,0,2,431,832,0,0,0,0,1364,12.2655122655123,43,6,121,1386,NA,NA,NA
"142",2020-08-12,"Malaysia",65.5928220465712,96,144,15112,23405,52.1634615384615,0,1,433,832,0,0,0,0,1364,13.1313131313131,45,9,128,1386,NA,NA,NA
