"","date","state","variant_count","variant","status"
"219",2021-05-12,"Perak",0,"Eta B.1.525","voi"
"220",2021-05-12,"Perak",0,"Theta P.3","voi"
"221",2021-05-12,"Perak",10,"Beta B.1.351","voc"
"222",2021-05-12,"Kedah",0,"Alpha B.1.1.7","voc"
"223",2021-05-12,"Kedah",0,"Delta B.1.617.2","voc"
"224",2021-05-12,"Kedah",0,"Eta B.1.525","voi"
"225",2021-05-12,"Kedah",0,"Theta P.3","voi"
"226",2021-05-12,"Perlis",0,"Beta B.1.351","voc"
"227",2021-05-12,"Pulau Pinang",0,"Alpha B.1.1.7","voc"
"228",2021-05-12,"Pulau Pinang",0,"Delta B.1.617.2","voc"
"229",2021-05-12,"Pulau Pinang",0,"Eta B.1.525","voi"
"230",2021-05-12,"Pulau Pinang",0,"Theta P.3","voi"
"231",2021-05-12,"Pulau Pinang",0,"Beta B.1.351","voc"
"232",2021-05-12,"Negeri Sembilan",0,"Alpha B.1.1.7","voc"
"233",2021-05-12,"Negeri Sembilan",0,"Delta B.1.617.2","voc"
"234",2021-05-12,"Negeri Sembilan",0,"Eta B.1.525","voi"
"235",2021-05-12,"Negeri Sembilan",0,"Theta P.3","voi"
"236",2021-05-12,"Sabah",1,"Beta B.1.351","voc"
"237",2021-05-12,"Johor",0,"Alpha B.1.1.7","voc"
"238",2021-05-12,"Johor",0,"Delta B.1.617.2","voc"
"239",2021-05-12,"Johor",0,"Eta B.1.525","voi"
"240",2021-05-12,"Johor",0,"Theta P.3","voi"
"241",2021-05-12,"Sarawak",0,"Beta B.1.351","voc"
"242",2021-05-12,"Perlis",0,"Alpha B.1.1.7","voc"
"243",2021-05-12,"Perlis",0,"Delta B.1.617.2","voc"
"244",2021-05-12,"Perlis",0,"Eta B.1.525","voi"
"245",2021-05-12,"Perlis",0,"Theta P.3","voi"
"246",2021-05-12,"Selangor",16,"Beta B.1.351","voc"
"247",2021-05-12,"W.P. Labuan",0,"Alpha B.1.1.7","voc"
"248",2021-05-12,"W.P. Labuan",0,"Delta B.1.617.2","voc"
"249",2021-05-12,"W.P. Labuan",0,"Eta B.1.525","voi"
"250",2021-05-12,"W.P. Labuan",0,"Theta P.3","voi"
"251",2021-05-12,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc"
"252",2021-05-12,"Sabah",0,"Alpha B.1.1.7","voc"
"253",2021-05-12,"Sabah",0,"Delta B.1.617.2","voc"
"254",2021-05-12,"Sabah",0,"Eta B.1.525","voi"
"255",2021-05-12,"Sabah",0,"Theta P.3","voi"
"256",2021-05-12,"W.P. Labuan",0,"Beta B.1.351","voc"
"257",2021-05-12,"Malaysia",0,"Alpha B.1.1.7","voc"
"258",2021-05-12,"Malaysia",0,"Delta B.1.617.2","voc"
"259",2021-05-12,"Malaysia",0,"Eta B.1.525","voi"
"260",2021-05-12,"Malaysia",0,"Theta P.3","voi"
"261",2021-05-17,"Johor",0,"Beta B.1.351","voc"
"262",2021-05-17,"Selangor",0,"Alpha B.1.1.7","voc"
